2025-01-28 15:46:51,478 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Configure stats pid to 63455
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Loading settings from /Users/igorgonteri/.config/wandb/settings
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Loading settings from /Users/igorgonteri/Desktop/Nornour/0006-LSTM-peptides/wandb/settings
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': '0006-LSTM-peptides/LSTM-peptide-model.py', 'program_abspath': '/Users/igorgonteri/Desktop/Nornour/0006-LSTM-peptides/LSTM-peptide-model.py', 'program': '/Users/igorgonteri/Desktop/Nornour/0006-LSTM-peptides/LSTM-peptide-model.py'}
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_init.py:_log_setup():533] Logging user logs to /Users/igorgonteri/Desktop/Nornour/0006-LSTM-peptides/wandb/run-20250128_154651-eodpllle/logs/debug.log
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_init.py:_log_setup():534] Logging internal logs to /Users/igorgonteri/Desktop/Nornour/0006-LSTM-peptides/wandb/run-20250128_154651-eodpllle/logs/debug-internal.log
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_init.py:init():619] calling init triggers
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'epochs': 50, 'batch_size': 8, 'learning_rate': 0.00063, 'layers': 2, 'output_size': 22, 'hidden_size': 256, 'dropout': 0.7}
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_init.py:init():669] starting backend
2025-01-28 15:46:51,479 INFO    MainThread:63455 [wandb_init.py:init():673] sending inform_init request
2025-01-28 15:46:51,480 INFO    MainThread:63455 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-01-28 15:46:51,481 INFO    MainThread:63455 [wandb_init.py:init():686] backend started and connected
2025-01-28 15:46:51,484 INFO    MainThread:63455 [wandb_init.py:init():781] updated telemetry
2025-01-28 15:46:51,515 INFO    MainThread:63455 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-01-28 15:46:52,005 INFO    MainThread:63455 [wandb_init.py:init():867] starting run threads in backend
2025-01-28 15:46:52,167 INFO    MainThread:63455 [wandb_run.py:_console_start():2456] atexit reg
2025-01-28 15:46:52,168 INFO    MainThread:63455 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-01-28 15:46:52,168 INFO    MainThread:63455 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-01-28 15:46:52,168 INFO    MainThread:63455 [wandb_run.py:_redirect():2395] Redirects installed.
2025-01-28 15:46:52,171 INFO    MainThread:63455 [wandb_init.py:init():911] run started, returning control to user process
2025-01-28 16:10:15,815 WARNING MsgRouterThr:63455 [router.py:message_loop():75] message_loop has been closed
